symbol,from,to,value,timestamp,txhash
OUSG,0x0000000000000000000000000000000000000000,0xafc7cd55038b7681a274f6f992cf992e5a29c95d,1937984.050468,2025-12-05T23:51:06.203406,0xa28d24a6d9c273f70781332e6477b729c7903e3a
OUSG,0x0000000000000000000000000000000000000000,0x3fc77157ec71ca69b89a75eb9d8d95729e5d1693,1937984.050468,2025-12-05T23:51:06.203406,0x005908c506da446f1b271e96a69c8acb19665830
OUSG,0x0000000000000000000000000000000000000000,0xde30a3cfb61810c400d6a51047e4a254fa26bb5c,1937984.050468,2025-12-05T23:51:06.203406,0x3b2834754991a656a0d9d8ceab023d16031a9856
USTB,0x0000000000000000000000000000000000000000,0xa686f582826a08dd9044d167bd9cb3fd8e857588,27871057.835777,2025-12-05T23:51:07.681508,0x2ef0cdca69daf920c668d147e59e4fd333864aa4
USTB,0x0000000000000000000000000000000000000000,0x81d198ba36669ab40b9904612aac95f525d90ca2,27871057.835777,2025-12-05T23:51:07.681508,0x884679bd6d07617b95c5f3b0f20379efadb7a3b1
OMMF,0x0000000000000000000000000000000000000000,0x3bc0fd96dc15d445c97481650203504f78561b0f,0.0,2025-12-05T23:51:09.232975,0x3046521846565e8cbc1d1c718f0ca55615400b0d
OMMF,0x0000000000000000000000000000000000000000,0x04e9cf0c4bdfb66fefad16118475b84ed9573a08,0.0,2025-12-05T23:51:09.232975,0x69d969b8d92aa7a013c567fc34dec682d992867f
OMMF,0x0000000000000000000000000000000000000000,0x6906e8fb8c1133a3161b062de8546e64f36379e6,0.0,2025-12-05T23:51:09.232975,0xf324902da447277cf034ef0914a795c3275c8413
OMMF,0x0000000000000000000000000000000000000000,0xb1d3b8ec9801c21fb8cd743797fbb9b642468190,0.0,2025-12-05T23:51:09.232975,0x68541725d18c5f4020570724f39b008f2e983d80
OMMF,0x0000000000000000000000000000000000000000,0xc7191f2b74fff68e1152bd875d6fa937a91f6895,0.0,2025-12-05T23:51:09.232975,0x9c8a1b11ca8ff8be74a3834412b37a4285c11835
PAXG,0x0000000000000000000000000000000000000000,0xa307f0f93943e10fa593e9356a61a807e97ad799,169871.482,2025-12-05T23:51:10.964332,0xa94ee890ec13f63b185b1737bbb8a56d7c96842b
PAXG,0x0000000000000000000000000000000000000000,0x50324eac5716f1abae28b4cad2c999962cfc0afc,169871.482,2025-12-05T23:51:10.964332,0xd5cd466009584421a9bee00b0f8b6a3309b379f1
XAUt,0x0000000000000000000000000000000000000000,0xc3df6de92b56da002d0900911869958c30068ff1,261044.65,2025-12-05T23:51:12.630511,0x3187e3a91cd64c7db0be5d52a55fbb8bc01621db
XAUt,0x0000000000000000000000000000000000000000,0x85fb57d8c6f728f4cf03493cb67d5d00a167206d,261044.65,2025-12-05T23:51:12.630511,0xf4792fb25a30c7dcb9cda1eee7bf90de0a2d3efd
